Page	Primary search territory	Canonical URL
Homepage	SEND & neurodivergent university transition research	/
About	SEND university transition research; transmedia storytelling	/about/
People	Charlie Kwong; SEND university transition researcher	/people/
Values	identity; belonging; inclusive university transition	/what-we-care/
Research updates	SEND university transition research updates	/research-update/
Outputs	SEND university transition resources	/output-resources/
Get involved	SEND university transition research workshops	/get-involved/
Events	Falmouth student workshops; university transition	/events/
MyTimetable	Falmouth MyTimetable; Falmouth University timetable	/blog/falmouth-mytimetable-how-to-view-and-sync-your-university-timetable/
Clearing	Falmouth University Clearing 2026	/blog/falmouth-university-clearing-2026-questions-to-ask/
Accommodation	Falmouth student accommodation; neurodivergent accommodation	/blog/finding-private-accommodation-falmouth-penryn-neurodivergent-guide/
Online degree	online degrees for SEND and neurodivergent students	/blog/online-degree-accessibility-send-neurodivergent-students/
Map	Falmouth University map; Falmouth accessibility; Penryn map	/blog/falmouth-university-map-2026/
Student links	Falmouth University student support links	/blog/falmouth-university-student-links-guide-2026/
